Title	Author	Date	Availability	Genre	Subgenre	Form	Regularisation	Nb of tokens (c.)	File	
LA CRITIQUE DE LA TRAGÉDIE DE CHARLES IX, COMÉDIE.	PALISSOT DE MONTENOY, Charles (1730-1814)	1790	cc-by-nc-sa	theatre	tragedy	prose	yes	5225	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/PALISSOT_CRITIQUETRAGEDIECHARLESIX.xml	
LE LIÈVRE, COMÉDIE	CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle (1717-1806)	1768	cc-by-nc-sa	theatre	other	prose	yes	3185	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/CARMONTELLE_LIEVRE.xml	
L'ORPHELIN DE LA CHINE, TRAGÉDIE	VOLTAIRE (1694-1778)	1755	cc-by-nc-sa	theatre	tragedy	verse	yes	13627	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/VOLTAIRE_ORPHELINDELACHINE.xml	
LES FOUS, PROVERBE	CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle (1717-1806)	1771	cc-by-nc-sa	theatre	other	mixed	yes	2151	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/CARMONTELLE_FOUS.xml	
TIMOCRATE, TRAGÉDIE	Thomas CORNEILLE (1625-1709)	1662	cc-by-nc-sa	theatre	tragedy	verse	yes	19103	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/CORNEILLET_TIMOCRATE.xml	
LA MORT DE CHRISPE, TRAGÉDIE	TRISTAN L'HERMITE, François	1645	cc-by-nc-sa	theatre	tragedy	verse	yes	15783	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/TRISTAN_MORTDECHRISPE.xml	
CHAPELLE ET BOILEAU, OU LE PRÉCHEUR CONVERTI, ANECDOTE dramatique.	DUHOMME, Frédéric	1846	cc-by-nc-sa	theatre	other	prose	yes	3744	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/DUHOMME_CHAPELLEBOILEAU.xml	
LES MAL-ASSORTIS, COMÉDIE EN DEUX ACTES.	DUFRESNY, Charles	1693	cc-by-nc-sa	theatre	comedy	mixed	yes	6212	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/DUFRESNY_MALASSORTIS.xml	
LA VEUVE DE SAREPTA ou L'HOSPITALITÉ RÉCOMPENSÉE, COMÉDIE	GENLIS, Stéphanie-Félicité Du Crest de (1746-1830)	1829	cc-by-nc-sa	theatre	comedy	prose	yes	2789	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/GENLIS_VEUVEDESAREPTE.xml	
LES PASTILLES DE RICHELIEU.	MONSELET, Charles (1825-1888)	1859	cc-by-nc-sa	theatre	comedy	prose	yes	2040	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/MONSELET_PASTILLESDERICHELIEU.xml	
DIPNÉ, INFANTE D'IRLANDE. TRAGÉDIE.	AURE, François d'	1668	cc-by-nc-sa	theatre	tragedy	verse	yes	21336	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/AURE_DIPNE.xml	
LES NOCES DE VAUGIRARD, OU LES NAÏVETÉS CHAMPÊTRES, PASTORALE DÉDIÉE À CEUX QUI VEULENT RIRE.	DISCRET, L.C.	1688	cc-by-nc-sa	theatre	comedy	verse	yes	19327	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/DISCRET_NOCESDEVAUGIRARD.xml	
AGNÈS DE CHAILLOT, COMÉDIE.	BIANCOLELLI, Pierre François	1723	cc-by-nc-sa	theatre	other	mixed	yes	5996	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/BIANCOLLELLI_AGNESDECHAILLOT.xml	
OROPASTE OU LE FAUX TONAXARE	Claude BOYER (1618-1698)	1663	cc-by-nc-sa	theatre	tragedy	verse	yes	19892	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/BOYER_OROPASTE.xml	
L'ÉCOLE DES PÈRES ou LES FILS INGRATS, COMÉDIE	Alexis PIRON (1689-1773)	1728	cc-by-nc-sa	theatre	comedy	verse	yes	20194	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/PIRON_ECOLEPERES.xml	
L'ESCLAVAGE DES NOIRS, OU L'HEUREUX NAUFRAGE, DRAME	Olympe de GOUGES (1748-1793)	1792	cc-by-nc-sa	theatre	other	prose	yes	12677	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/GOUGES_EXCLAVAGEDESNOIRS.xml	
